Nome,Punteggio,Fantamedia anno 2023-2024,Fantamedia anno 2022-2023,Fantamedia anno 2021-2022,Presenze 2023-2024,Fanta Media 2023-2024,FM su tot gare 2023-2024,Presenze previste,Gol previsti,Assist previsti,Ruolo,Skills,Buon investimento,Resistenza infortuni,Consigliato prossima giornata,Nuovo acquisto,Infortunato,Squadra,Trend,Presenze campionato corrente
FALCONE WLADIMIRO,70,4.79,5.09,4.95,36,4.79,4.66,0/10,8/11,0,POR,['Titolare'],20,60,False,False,False,Lecce,DOWN,36
TERRACCIANO PIETRO,69,5.28,4.78,4.77,32,5.28,4.57,0/10,3/5,0,POR,['Panchinaro'],20,60,False,False,False,Fiorentina,UP,32
MUSSO JUAN,69,5.05,4.90,4.80,11,5.05,1.50,11/20,8/11,0,POR,['Titolare'],60,60,False,False,False,Atalanta,UP,11
CAPRILE ELIA,69,5.21,nd,nd,21,5.21,2.96,30+,0,0,POR,"['Panchinaro', 'Giovane talento']",40,60,False,False,False,Napoli,STABLE,21
OKOYE MADUKA,66,4.82,nd,nd,19,4.82,2.48,0/10,8/11,0,POR,['Titolare'],40,40,False,False,False,Udinese,STABLE,19
SCUFFET SIMONE,64,4.28,nd,nd,29,4.28,3.35,0/10,0,0,POR,['Titolare'],20,60,False,False,False,Cagliari,STABLE,29
MANDAS CHRISTOS,62,5.75,nd,nd,8,5.75,1.24,0/10,0,0,POR,"['Panchinaro', 'Giovane talento']",20,60,True,False,False,Lazio,STABLE,8
DE GEA DAVID,62,nd,nd,nd,0,0.00,0.00,30+,0,0,POR,"['Fuoriclasse', 'Titolare']",60,60,False,True,False,Fiorentina,STABLE,0
AUDERO EMIL,56,5.67,4.88,4.54,3,5.67,0.46,0/10,8/11,0,POR,['Titolare'],40,60,False,True,False,Como,UP,3
SPORTIELLO MARCO,53,4.57,4.73,5.30,7,4.57,0.86,0/10,3/5,0,POR,"['Panchinaro', 'Buona Media']",40,80,False,False,True,Milan,DOWN,7
SILVESTRI MARCO,52,4.18,4.97,4.75,17,4.18,1.92,30+,40/50,0,POR,"['Panchinaro', 'Buona Media']",60,60,False,False,False,Udinese,DOWN,17
VASQUEZ DEVIS,52,nd,nd,nd,10,0.00,0.00,30+,40/50,0,POR,['Titolare'],40,60,False,True,False,Empoli,STABLE,0
PIZZIGNACCO SEMUEL,52,nd,nd,nd,38,0.00,0.00,11/20,40/50,0,POR,"['Titolare', 'Giovane talento']",20,60,False,True,False,Monza,STABLE,0
GOLLINI PIERLUIGI,51,4.86,5.21,nd,7,4.86,0.92,0/10,0,0,POR,['Titolare'],60,80,False,True,False,Genoa,DOWN,7
SUZUKI ZION,51,nd,nd,nd,22,4.00,2.38,21/30,0,0,POR,"['Titolare', 'Giovane talento']",60,60,False,True,False,Parma,STABLE,0
PERIN MATTIA,50,5.50,6.05,4.70,2,5.50,0.30,21/30,30/40,0,POR,"['Panchinaro', 'Buona Media']",40,60,False,False,False,Juventus,DOWN,2
DI GENNARO RAFFAELE,50,nd,nd,nd,0,0.00,0.00,0/10,0,0,POR,['Panchinaro'],20,60,False,False,False,Inter,STABLE,0
RADU IONUT ANDREI,50,nd,4.00,2.00,0,0.00,0.00,0/10,0,0,POR,"['Panchinaro', 'Buona Media']",40,80,False,False,False,Inter,STABLE,0
STANKOVIC FILIP,49,nd,nd,nd,37,4.00,4.00,30+,0,0,POR,"['Titolare', 'Giovane talento']",40,60,False,True,False,Venezia,STABLE,0
